"","Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3"
"66637",2007-02-01,"00:00:00","0.326","0.128","243.150","1.400","0.000","0.000","0.000"
"66638",2007-02-01,"00:01:00","0.326","0.130","243.320","1.400","0.000","0.000","0.000"
"66639",2007-02-01,"00:02:00","0.324","0.132","243.510","1.400","0.000","0.000","0.000"
"66640",2007-02-01,"00:03:00","0.324","0.134","243.900","1.400","0.000","0.000","0.000"
"66641",2007-02-01,"00:04:00","0.322","0.130","243.160","1.400","0.000","0.000","0.000"
"66642",2007-02-01,"00:05:00","0.320","0.126","242.290","1.400","0.000","0.000","0.000"
"66643",2007-02-01,"00:06:00","0.320","0.126","242.460","1.400","0.000","0.000","0.000"
"66644",2007-02-01,"00:07:00","0.320","0.126","242.630","1.400","0.000","0.000","0.000"
"66645",2007-02-01,"00:08:00","0.320","0.128","242.700","1.400","0.000","0.000","0.000"
"66646",2007-02-01,"00:09:00","0.236","0.000","242.890","1.000","0.000","0.000","0.000"
"66647",2007-02-01,"00:10:00","0.226","0.000","243.000","1.000","0.000","0.000","0.000"
"66648",2007-02-01,"00:11:00","0.224","0.000","242.500","1.000","0.000","0.000","0.000"
"66649",2007-02-01,"00:12:00","0.224","0.000","242.180","1.000","0.000","0.000","0.000"
"66650",2007-02-01,"00:13:00","0.224","0.000","242.150","1.000","0.000","0.000","0.000"
"66651",2007-02-01,"00:14:00","0.224","0.000","242.730","1.000","0.000","0.000","0.000"
"66652",2007-02-01,"00:15:00","0.260","0.000","242.850","1.200","0.000","0.000","0.000"
"66653",2007-02-01,"00:16:00","0.304","0.096","242.890","1.200","0.000","0.000","0.000"
"66654",2007-02-01,"00:17:00","0.302","0.096","242.870","1.200","0.000","0.000","0.000"
"66655",2007-02-01,"00:18:00","0.302","0.094","242.190","1.200","0.000","0.000","0.000"
"66656",2007-02-01,"00:19:00","0.300","0.094","242.230","1.200","0.000","0.000","0.000"
"66657",2007-02-01,"00:20:00","0.300","0.094","242.160","1.200","0.000","0.000","0.000"
"66658",2007-02-01,"00:21:00","0.298","0.094","242.290","1.200","0.000","0.000","0.000"
"66659",2007-02-01,"00:22:00","0.298","0.094","242.470","1.200","0.000","0.000","0.000"
"66660",2007-02-01,"00:23:00","0.296","0.094","242.320","1.200","0.000","0.000","0.000"
"66661",2007-02-01,"00:24:00","0.296","0.096","242.980","1.200","0.000","0.000","0.000"
"66662",2007-02-01,"00:25:00","0.298","0.100","243.650","1.200","0.000","0.000","0.000"
"66663",2007-02-01,"00:26:00","0.228","0.000","243.550","1.000","0.000","0.000","0.000"
"66664",2007-02-01,"00:27:00","0.226","0.000","243.110","1.000","0.000","0.000","0.000"
"66665",2007-02-01,"00:28:00","0.226","0.000","243.090","1.000","0.000","0.000","0.000"
"66666",2007-02-01,"00:29:00","0.226","0.000","243.050","1.000","0.000","0.000","0.000"
"66667",2007-02-01,"00:30:00","0.226","0.000","243.220","1.000","0.000","0.000","0.000"
"66668",2007-02-01,"00:31:00","0.226","0.000","243.370","1.000","0.000","0.000","0.000"
"66669",2007-02-01,"00:32:00","0.226","0.000","243.140","1.000","0.000","0.000","0.000"
"66670",2007-02-01,"00:33:00","0.226","0.000","243.120","1.000","0.000","0.000","0.000"
"66671",2007-02-01,"00:34:00","0.322","0.094","242.740","1.400","0.000","0.000","0.000"
"66672",2007-02-01,"00:35:00","0.336","0.126","242.590","1.400","0.000","0.000","0.000"
"66673",2007-02-01,"00:36:00","0.332","0.126","242.910","1.400","0.000","0.000","0.000"
"66674",2007-02-01,"00:37:00","0.332","0.130","243.510","1.400","0.000","0.000","0.000"
"66675",2007-02-01,"00:38:00","0.330","0.130","243.650","1.400","0.000","0.000","0.000"
"66676",2007-02-01,"00:39:00","0.328","0.128","243.370","1.400","0.000","0.000","0.000"
"66677",2007-02-01,"00:40:00","0.328","0.130","243.790","1.400","0.000","0.000","0.000"
"66678",2007-02-01,"00:41:00","0.326","0.128","243.230","1.400","0.000","0.000","0.000"
"66679",2007-02-01,"00:42:00","0.324","0.126","242.980","1.400","0.000","0.000","0.000"
"66680",2007-02-01,"00:43:00","0.322","0.126","242.950","1.400","0.000","0.000","0.000"
"66681",2007-02-01,"00:44:00","0.322","0.124","242.600","1.400","0.000","0.000","0.000"
"66682",2007-02-01,"00:45:00","0.322","0.128","243.330","1.400","0.000","0.000","0.000"
"66683",2007-02-01,"00:46:00","0.318","0.118","241.320","1.400","0.000","0.000","0.000"
"66684",2007-02-01,"00:47:00","0.316","0.116","240.930","1.400","0.000","0.000","0.000"
"66685",2007-02-01,"00:48:00","0.316","0.116","240.930","1.400","0.000","0.000","0.000"
"66686",2007-02-01,"00:49:00","0.274","0.058","240.360","1.200","0.000","0.000","0.000"
"66687",2007-02-01,"00:50:00","0.222","0.000","240.930","1.000","0.000","0.000","0.000"
"66688",2007-02-01,"00:51:00","0.222","0.000","240.830","1.000","0.000","0.000","0.000"
"66689",2007-02-01,"00:52:00","0.222","0.000","240.520","1.000","0.000","0.000","0.000"
"66690",2007-02-01,"00:53:00","0.224","0.000","241.450","1.000","0.000","0.000","0.000"
"66691",2007-02-01,"00:54:00","0.224","0.000","241.590","1.000","0.000","0.000","0.000"
"66692",2007-02-01,"00:55:00","0.226","0.000","242.550","1.000","0.000","0.000","0.000"
"66693",2007-02-01,"00:56:00","0.226","0.000","242.880","1.000","0.000","0.000","0.000"
"66694",2007-02-01,"00:57:00","0.226","0.000","242.630","1.000","0.000","0.000","0.000"
"66695",2007-02-01,"00:58:00","0.224","0.000","242.200","1.000","0.000","0.000","0.000"
"66696",2007-02-01,"00:59:00","0.224","0.000","241.840","1.000","0.000","0.000","0.000"
"66697",2007-02-01,"01:00:00","0.222","0.000","240.890","1.000","0.000","0.000","0.000"
"66698",2007-02-01,"01:01:00","0.222","0.000","240.860","1.000","0.000","0.000","0.000"
"66699",2007-02-01,"01:02:00","0.260","0.000","240.640","1.200","0.000","0.000","0.000"
"66700",2007-02-01,"01:03:00","0.298","0.088","240.720","1.200","0.000","0.000","0.000"
